review;label
никакого отношения ни то, что к Лавацце, даже к кофе не имеет ;2
Банка гнутая, крышка дырявая, кофе непонятного цвета, консистенции и вкуса. ;2
Не тот кофе  ;2
Говорят разный дизайн банки на самом деле разное кофе темное по цвету горчит нет того аромата не советую ;2
дешевый горелый порошок ничего общего не имеющий с арабикой. не берите если не хотите отрицательных эмоций. ;2
нет, т.к. пришел совсем другой кофе ;2
горелый, дешёвый порошок ;2
если вам придет банка не соответствующая картинке, не берите ;2
Слева на фото - кофе ароматный, с насыщенным вкусом и оригинальный, купленный ранее на Ozon. Справа- явная подделка. Нет ни запаха, ни вкуса. Купила за 300 рублей . В магазинах значительно дороже. Но скупой платит дважды! Больше не буду заказывать( ;2
подделка ;2
не рекомендую ;2
"Абсолютно нет аромата и вкуса того кофе, который я всегда покупаю. 
Это подделка или неудачная партия. Полное разочарование. ";2
Хороший, вкусный кофе. Покупали на пробу и сравнение с другими сортами кофе Лаваза, очень понравился запах и вкус. ;1
Вкусный кофе ;1
цена по акции сделала кофе еще вкуснее ;1
Вкусный кофе получается и при приготовлении в турке и при заваривании в чашке. Достаточно ароматный, вкус мягкий, не горчит и нет кислого привкуса. ;1
Мне очень понравился данный вид кофе. Я обычно пью кофе с молоком, но этот мне понравился именно в натуральном виде. Мужу тоже понравился. Вкус мягкий, но вполне насыщенный. ;1
Вкусный кофе. Как будто побывал на Кубе!!!  ;1
Вкусный, ароматный ;1
Очень вкусный кофе, насыщенный,мягкий, не горчит. ;1
Прекрасный, сбалансированный вкус, без кислинки, известный производитель, заказываем уже несколько раз, хорошая цена, возможность собрать серию вкусов (Москва, Париж, Нью Йорк итд) ;1
Прекрасный кофе за небольшую цену. ;1
самый лучший из серии Paulig ;1
Ароматный  ;1
Приятный мягкий вкус ;1
купили по рекомендации, пока не пробовали, но по виду и запаху, похож на оригинал! ;1
Немного горчит, как мне показалось. А так нормальный кофе ;1
Вкусный кофе ;1
Мой любимый кофе ;1
Покупаю сейчас только его, желательно в большой упаковке, качество, цена и конечно вкус, все устраивает ;1
Недорогая цена ;1
Запах и на вкус как кофе из Старбакс! Рекомендую  ;1
Прекрасный вкус, аромат. Хорошее качество кофе. Употребляю более 8 лет, вкус не изменился!!!  ;1
упаковка с клапаном, помол равномерный, использую для колд брю - 12 часов в холодильнике. добрая кислинка с мягкой горчинкой от кофеина ;1
кофе хорошего качества ;1
за невысокую цену вкусный кофе, завариваю всегда в кружке. Вкус насыщенный, не горчит, аромат на всю кухню ;1
Хороший, вкусный кофе ;1
Много раз уже покупала этот кофе, впервые заказываю на озоне, кофе прекрасный, довольно легкий, без всяких претензий, понравится ну почти всем)) если любите крепкий эспрессо на робусте, то проходите мимо)) боялась заказывать, потому что неизвестна дата обжарки, опасения напрасны, в магазинах не всегда такой срок можно найти,... ;1
мне не очень понравился.без вкуса и кислит. не моё  ;2
Невысокая цена, приятный вкус ;1
очень вкусный кофе даже без добавления сахара и молока!  ;1
аромат, вкус, цена ;1
быстро заканчивается)  ;1
вкусный, не сильно крепкий, приятный вкус ;1
Средний помол, для кофеварки рожковой подходит ;1
Подходит для тех, кто любитине очень крепкий с кислинкой кофе ;1
вкусный кофе ;1
цена без акции не радует ;2
один из самых ароматных кофе, не тяжелый, не горький, в меру кисленький ;1
Хороший кофе для своей ценовой категории. Вкус натуральный (только не заливайте закипевшей водой, надо брать сырую воду и заваривать кофе водой не доведенной до кипения - тогда аромат и вкус будет близок к настоящему кофе). Пачка с удобной застежкой. ;1
Всегда берём только этот кофе. Много перепробовали, но остановились на нем. Приятный вкус, ароматный, с небольшой горчинкой. Не кислит, как это бывает в других кофе. Сроки хорошие.  ;1
Лучший (на мой вкус) кофе в своем ценовом сегменте. ;1
О вкусах не спорят - мне нравится именно этот кофе. Большая пачка с удобной застежкой по приемлемой цене. ;1
Любимый кофе ;1
Удача удач за такую цену шикарно, фото для тех кто не пил такое кофе! Мягкий вкус, нет жженого привкуса, нежный, но бодрящий!  ;1
большая пачка, зип пакет, хватит надолго ;1
самый нормальный растворимый кофе пока что ;1
Отличный кофе ;1
Очень выгодная упаковка. Кофе вкусный.  ;1
вкусное кофе, цена, большая упаковка ;1
довольно на 100%, так как цена очень классная и кофе один из любимых. хватит на долго ;1
Очень большой объем!!!Мы кофеманы!!! ;1
Пакет кофе ,огромный .Поставила рядом для сравнения из под 240гр. ,да и цена привлекательная ,всего 839 р. и огромное спасибо за подарок- мини мандарины. Все привезли быстро , во время. Спасибо. ;1
Вкусный ;1
Очень вкусный Кофе, покупаю только его. ;1
Кофе не очень. В банке вкуснее ;2
Неплохой кофе,Цена на озоне огонь! ;1
Можно брать ))) ;1
Достоинства.Если по акции, то дешево, хороший кофе. Крепкий и немного чуть... ароматный. В зернах очее-нь хороший кофе. ;1
Ожидания прошёл: дешево и сердито. ;1
Был и остаётся для широкой публики потребителей. И качественный(лабораторные тесты, мало вредных элементов) и, по крайней мере, хоть какой то слабый аромат. ;1
Лучшая цена в отличат от магазинов  ;1
В магазине гораздо дороже ,а тут с бонусами вышло ооооочень дёшево,упаковывают отлично ,заказала ещё парочку  ;1
"1баночка из трёх пришла разбитая,явно не по вине доставщика а скорее всего при упаковке ...
Денежки конечно вернули ,но осадок остался ,фото прилагаю  ";2
хорошие кофе  ;1
вкусное пьем всегда его  ;1
Приятно пьётся ,вкусный ,не горчит ;1
самый приятный из растворимых кофе ;1
на Озоне всегда самые выгодные условия на данный кофе (имеются в виду акционные скидки), получается всегда дешевле, чем в любом магазине. ;1
Маленькая упаковка. ;2
Хороший, растворимый кофе. Купили во время ликвидации на Озоне за 135р. Но почему то в купленных ранее упаковках большего размера вкус и аромат этого продукта был более интенсивным. Может показалось... ;1
Вкус не самый лучший  ;2
Кофе на любителя  ;2
очень хороший вкус ;1
Ужасный ароматизатор ;2
Не верьте отзывам, кофе это пить невозможно. Даже пахнет как-то неприятно при заваривании. А вкус химический какой-то, на сливки совсем не похоже. В общем не ведитесь на хорошие отзывы ;2
Для любителя классики брать не стоит, вкус перебивают ароматизаторы  ;2
Брать больше не будем ;2
от запаха этого суррогата можно вылечить застарелый насморк ;2
удивлена хвалебным отзывам - это выглядит очень странно. о себе скажу, что красная цена этому пакету 40-50 рублей. тот, кто привык к хорошему кофе, эту химозу пить не станет ;2
Хороший вариант для тех, кому не с чем сравнивать ;2
Отвратительный, не вкусный кофе. Пробовал кофе других марок с аналогичным вкусом и они в сравнение даже не станут с этими помоями... ;2
ужасный запах ;2
мне кофе не подошел,отвратительный запах ;2
Однажды попробовал заварить хороший кофе в капельной кофеварке по второму разу. Получилась горькая жижа без вкуса и запаха. Когда пробую продукцию жокей ощущения точно такие же. А конкретно ирландские сливки, так совсем кошмар, ощущение что завариваешь один ароматизатор. ;2
я не советую  ;2
Гаже кофе еще не пила. Ужасно горький. Пить никто не смог. Сразу выкинули. ;2
Ужасный, кислятина  ;2
без вкусный! ;2
Заказываю третий раз кофе приходит горелый ;2
Настоящая подделка. ;2
Мне не понравился. Плохо растворимый  ;2
Упаковка абсолютно не вакуумная, и еще просыпался, соответственно, кофе уже никакой (сколько на складе вскрытый лежал?) ;2
И этот кофе ароматизирован. Очень невкусный. ;2
Это конечно лучше гадости Paulig Mokka, но пить можно только в крайнем случае. В отличие от горького Mokka, Paulig Classic - напиток практически лишенный вкуса и аромата. В магазинах обычно продается по цене в 150 рублей за 250 грамм, но даже это слишком много ;2
Так себе, слабый  ;2
На один раз ;2
очень насыщенный, мне показалось что пережарен ;2
Вкус, а вернее его отсутствие. ;2
Чувствуется все, что угодно, но только не кофе. Для френч-пресса и заваривания в чашке не подойдет. Очень легкий. ;2
Скажем так- кофе не впечатлил ;2
чувствуется горечь ;2
Пробовала впервые. По мне так, послевкусие солёное или кислое. Мне не понравился. На любителя.  ;2
Аромат яркий, насыщенный ;2
Мне показался горьким, с кислинкой ;2
Но кислый, к сожалению  ;2
Кисловат ;2
К сожалению пачка оказалась порвана, кофе немного всыпался  ;2
Средний кофе ;2
На вкус и цвет товарища нет ;2
мне не очень понравился.без вкуса и кислит. не моё  ;2
Вкус так себе, пачка меньше стандартного объёма - из-за этого покупка кажется выгодной, пачка пришла порванной ;2
Раньше хорошо относился к финскому кофе, со временем как-то перешёл на итальянский. Решил ради интереса после покупки гейзера купить Паулиг. Вкус оказался слабым и неинтересным, пачка маленькая: 200 гр против стандартных... ;2
Обидно получать вскрытый кофе. Упаковщикам видимо захотелось сделать перерыв и отсыпать себе по чашечки! ;2
арабику не почувствовал ;2
Пережжёное , дешевое сырье;2
отвратительный кофе  ;2
подделка  ;2
купил кофе взамен магазинному ( из пятерки). На вид : не правильно указана дата производства, этикетка одна вокруг банки - еле держится клей, на запах - противный очень жженый кофе, вкус - горечь !!! отвратительный кофе , не советую брать вообше !!! озон куда смотрите ??? подделка !!!!!!!! все описание кофе в сравнении с... ;2
мне не нравится, после него ужасный налет остается во рту и на зубах, представляю что в желудке, химия одна.... ;2
Товар подходит к концу срока годности ;2
Сроки годности на исходе, вот вам и товар по акции)  ;2
По моему дорого ;2
Хорошая цена по скидке  ;2
Вкус кофе не оправдал ожиданий: слишком горький. ;2
Озон очень бережно запаковал стеклянную банку, благодаря чему товар пришел в целости и сохранности. ;2
Слабый аромат. ;2
не понравился ;2
похоже в нем рабусты 80% ;2
Никаких вкусовых ноток, озвученных в описании, не услышала. самый обычный кофе эконом класса. Брала по акции, без которой брать его не рекомендую ;2
вкус не очень ;2
не удобно использовать пакет, маловато кофейности во вкусе, очень мягкий ;2
В эспрессо без сахара не очень понравился, в капучино и с ореховым сиропом приятный. Помол бы чуть поменьше для эспрессо  ;2
Обычный вкус! Не впечатлил! ;2
Большая упаковка и экологичная, ароматный,  ;2
Мне бы вкус помягче ;2
Хороший кофе ;2
приятный богатый вкус при правильном приготовлении ;2
"упаковка была полтора месяца назад, но на ""свежак"" не тянет.. возможно из-за мелкого помола под турку. ";2
Отзывы воодушевили, но, по началу, в турке было тяжело норм сварить: легко переварить, первые пару раз был горелый с непривычки. ;2
вкус, цена по акции ,свежесть ;2
изначально в данном товаре привлекла цена 300 с небольшим рублей за полкило кофе ( цена по акции). в итоге получаем товар на пять баллов - свежесть фасовки ( на моем стрит дата 21.01), вкус - арабика с робустой это классическое сочетание,чистая арабика кислит ,а робуста добавляет необходимую терпкость... ;2
Внимание!это маленький объём,сэкономила называется( ;2
Вкусный  ;2
штрихкод указанный на упаковке не соответствует штрихкоду заявленной страны изготовителя (Нидерланды). Если верить штрихкоду, то это Великобритания, но и это сомнительно. Фальсификат? Тогда это объясняет и качество кофе и стоимость ;2
для френч-пресса не очень подходит ;2
не очень понравился кофе ;2
Невкусный ;2
Не понравился вкус, помол ;2
нечего особенного.больше не куплю ;2
кислое, не вкусное ;2
кто пьет лавазу или старбакс, сразу вас отговариваю, не тратьте деньги, кислое, не насыщенное, нет плотности, пенки. ;2
Мне не хватило аромата и вкуса, простоват ;2
Ожидала большего (есть доверие к этой марке кофе), но, может ещё не распробовала ;2
фруктовые ноты не почувствовала. большой расход  ;2
по вкусу не очень понравилось ;2
без сахара горький как полынь ;2
Достоинств почти нет.  ;2
люблю кофе в этой пачке. но в товаре от озон вкус и аромат НЕ те. то ли партия такая, то ли испортился бушидо.... ;2
Нормальный вкус, не слишком крепкий ;2
Мне показалось, что вкус отличается от того, который покупала в магазине, словно пустой какой-то.  ;2
хороший молотый кофе  ;2
тем кто любит кофе покрепче ,стоит выбрать другой  ;2
Аромат быстро выветрился ;2
Хотелось бы чуть крепче ;2
плотность заваривания. возможно это связано с крупным помолом. ;2
за 250 р отличный вариант, если дороже, то можно выбрать более вкусный кофе. ;2
Крепкий ароматный ;2
на мой вкус не подошел, тк кислинку в кофе не люблю ;2
на любителя ;2
Не достаточно крепкий.  ;2
Пережарен, запах горелого пластика. ;2
Нашла личинку живую, неприятно ;2
вкус... жалею, что купил. ;2
Мне он совершенно не зашел ;2
Жжёный, горелый вкус. Возможно брак партии. ;2
прорезаны упаковка как будто проверяет кто-то, Что находится внутри... ;2
полное безобразие , Как можно продавать кофе с прорезанной упаковкой? ;2
Не вкусный , пережаренный  ;2
Горелый кофе , не понравился и очень крепкий ;2
Брали на подарок. При сборке упаковали не в коробку, а в пакет, в результате упаковки пришли порванные и помятые. В службе поддержки оператор задал уточняющий вопрос и вышел из чата. В дальнейшем на мои вопросы приходили только ответы бота, о том что товар можно обменять. За эту цену могла бы сходить в соседний супермаркет и взять кофе там... ;2
Вкус ужасный, ничего общего с кофе нет! Вкус пережаренных желудей. ;2
Складывается впечатление, что решили продать товар самого низкого качества, неизвестно где сделанного. А, низкая цена, если посчитать совсем не низкая, доставка какая дорогая, даже за самовывоз берут деньги! ;2
Коробка была порвана в двух местах ;2
Одни недостатки ;2
Доставили лопнутые капсулы  ;2
Я не знаю, что нужны было делать с пачкой, чтоб лопнуло как минимум 6 капсул! Вскрыла одну коробку из 8 штук, и вот что там было. Вторую коробку вскрывать не стала.  ;2
Мне не понравился. Больше не закажу  ;2
Завышенная цена. ;2
непонравился ;2
Не рекомендую. ;2
Нет аромата и насыщенного вкуса. ;2
Самый бесвкусный кофе из всех.  ;2
отвртительный кофе ;2
Очень плохая пенка  ;2
Нет вкуса, не нравится мне! ;2
Невкусный кислый кофе  ;2
Неприятный привкус. ;2
пережаренный, горчит ;2
Кофе не понравился. ;2
Не понравился кофе. Присутствует затхлый запах. ;2
Кофе так себе, не очень аналогично Российскому кофе. Если и брать Paulig, то арабика или президент ;2
Странный вкус, со временем привык правда. Я далеко не эксперт, но отдаёт дешёвым растворимым. Брал раньше Paulig Classic, теперь решил такой попробовать. Возможно кому-то и понравится, но я точно брать больше не буду. ;2
не понравился ;2
Беру для косметических целей. Пить, как самый крайний вариант. ;2
Не рекомендую. Плохое кофе, даже можно сказать отвратительное.  ;2
Кофе из этой пачки очень некачественный и старый. При приготовлении совсем отсутствует пена. В Италии я покупал этот сорт- небо и земля. То, что я купил сейчас в пачке с названием Lavazza Qualita Rossa (см.фото)- не похоже на то, что я пил в Италии. По вкусу это... ;2
Не буду больше брать. За те же деньги лучше заказать свежеобжаренный сортовой кофе с доставкой по почте. Чего и вам желаю. ;2
Пережаренное кофе. Жжённый вкус. Жалко даже денег на такое кофе, хоть и бюджетный вариант. Тот кто пишет хорошие отзывы, никогда не пробовал нормальное настоящее кофе. ;2
Очень удивилась, обнаружив на пачке совсем другое соотношение: робуста 60% и арабика 40%. Видимо, выбрав товар на озоне, мне нужно еще и перепроверять состав на других сайтах. Кофе с таким количеством робусты я пить не могу, поэтому теперь придется придумывать, куда его девать :-( ;2
Неудачный кофе попался. Слишком горький и пережаренный. ;2
вкус.не цепляет ;2
однозначно больше не буду брать этот вариант. ;2
Насыщенный вкус без кислинки. Заваривается в кружке на ура. Для меня лучший молотый кофе по отличной цене ;1
Кофе - достойного качества. А еще и цена приятная. Хорошая упаковка. У ОЗОНА всегда все приходит в целости и сохранности. ;1
Обожаю это кофе. Заваривается быстро. Крепкий и насыщенный вкус! ;1
Кофе качественный, цена отличная, доставка очень быстрая. Спасибо ОЗОНу! ;1
Хороший кофе, мягкий, средне крепкий. ;1
Отличный кофе по такой бюджетной цене. Вкуснее многих дорогих.  ;1
Действительно, лучший! ;1
Настоящий кофе-по-Восточному! ;1
"Для меня ОТЛИЧНЫЙ, варю на Итальянкой плите на Русском газе в медной турке на самом медленном огне маленькой комфорки ) пьем данный кофе без молока и сахара, для молока и сахара он слишком насыщенный, название ""По Восточному"" подходит к этому Жокею идеально. Ни малейшей кислинки. Прожарка темная почти по максимуму. Наш упакован 13.05.2018, годен до... ";1
"вполне гармоничный и насыщенный вкус, на твердую ""5-"". Мелкий помол, отлично заваривается в кружке каждое утро. Нормально прожарен, не пережарен, не кислит. В самый раз. ";1
Оптимальная обжарка. Тонкий помол. Идеально для кофеварки рожкового типа. ;1
За небольшие деньги довольно хороший кофе. ;1
Хороший, настоящий вкус ;1
Прекрасный кофе. Вкус, крепость просто идеальные. Цена на озоне самая лучшая на данный продукт.  ;1
Насыщенный, крепкий вкус без горечи. В чашке, на дне, оставляет осадок, как после варёного ( естественно меньше). ;1
Вкусный кофе по доступной цене, по сравнению например с Эгоистом ;1
Понравился - без амбиций, нормальный вкус хорошего кофе - рекомендую ;1
крепкий,терпкий вкус кофе ;1
Покупала мужу, ему понравился. Вкус крепкий, насыщенный и ароматный. ;1
Очень люблю этот кофе. Не хуже многих зерновых. С учётом цены-вообще праздник! ;1
Хорошее соотношение цены и качества. Вкус без горечи, насыщенный. ;1
Рекомендую. У каждого человека свои вкусовые пристрастия, но, надеюсь, эта покупка вас не разочарует. ;1
Отличный вкус, кофе с добавлением молотого ;1
Отличный кофе за доступную цену. Приятный вкус! ;1
рекомендую, для своей цены приличный, вкусный кофе! ;1
Уже несколько лет отдаю предпочтение этой марке. Люблю кофе с молоком, а этот очень нежен и приятен без. Обычно молотый или в зернах аналог лучше, но растворимый этой марки вкуснее и насыщенней. Обожаю его?????? ;1
Насыщенный вкус натурального кофе. Плотная структура напитка. Легко растворяется ;1
Чашечка натурального кофе за несколько секунд... Очень плотный напиток, поразил древесным послевкусием. Лучшего кофе не пробовала. ;1
"Лучший из растворимых:
1. Не кислит от слова «совсем»
2. Нет этой неперевариваемой искусственной горечи 
3. Вкус отличный - на самом деле как у сваренного кофе, пью чашек по пять в день не нарадуюсь. Даже остаток как у свежесваренного. 
4. При всех вышеперечисленных достоинствах, он растворимый! Кинул ложку в кружку, размешал и готово! ";1
Искала хороший именно растворимый кофе, т. к. совершенно некогда варить молотый и заморачиваться с кофеваркой в том числе. Пробовала бушидо - для меня кислит и некоторые его линейки неприятно горчат. Эгоист, особенно X.O. на сегодняшний день лучший из растворимых для меня, пью буквально литрами, все более чем устраивает.  ;1
Отличный кофе! Вкус мягкий, без горечи, со сливками или сгущенкой очень вкусно! ;1
Рекомендую! ;1
Лучший сорт из серии Эгоист ;1
Вкусный, приятный кофе. Без горечи! Пьём всей семьёй. Лучший кофе в линейке Egoiste. ;1
Из растворимых, пожалуй, самый вкусный кофе. И лучший в линейке Egoiste. Ароматный, в меру крепкий и с приятным послевкусием.  ;1
В линейке растворимых самый качественный, на мой взгляд  ;1
Кофе ароматный ;1
для меня лучший среди премиум кофе ;1
наслаждаюсь каждым глотком, пью черный или с молоком без сахара ;1
Инновационный продукт ;1
Молотый в растворимом... взрыв на рынке. Очень удобно, когда нет времени варить кофе в турке утром, просто заливаешь горячей водой. А по утрам я всегда опаздываю. Поэтому пью его каждое утро. ;1
Более 2-х лет употребляю данный кофе, цветочное послевкусие дарит ощущение натурального кофе. Сам напиток по консистенции очень напоминает натуральный кофе, даже остается осадок. Для любителей натурального кофе - отличный вариант!!! ;1
Действительно что-то настоящее среди всех премиум-кофе! ;1
для себя недостатков не выявила! ;1
Пока только этот кофе считаю для себя лучшим!!! ;1
Очень вкусный кофе. Густой. Вкус напоминает натуральный. ;1
Для человека неприхотливого в кофе - этот кофе просто отличный! ;1
Приятный вкус и аромат.  ;1
Буду заказывать ещё. ;1
Шикарный вкус и аромат ;1
